round=1 log2_max=-2.000000000000 seconds=0.0750
round=2 log2_max=-8.000000000000 seconds=0.1194
round=3 log2_max=-12.000000000000 seconds=0.2275
round=4 log2_max=-16.205584133650 seconds=0.1648
round=5 log2_max=-18.205584133650 seconds=0.0494
round=6 log2_max=-21.311718951953 seconds=0.0138
round=7 log2_max=-22.957138319609 seconds=0.0148
round=8 log2_max=-24.237797529877 seconds=0.0167
round=9 log2_max=-24.237797529877 seconds=0.0395
round=10 log2_max=-26.237797529877 seconds=0.0126
round=11 log2_max=-28.237796942591 seconds=0.0151
round=12 log2_max=-31.537356735952 seconds=0.0166
round=13 log2_max=-33.537356500129 seconds=0.0126
round=14 log2_max=-38.613007542747 seconds=0.0134
round=15 log2_max=-42.213043822653 seconds=0.0172
round=16 log2_max=-46.402882060753 seconds=0.0162
round=17 log2_max=-48.402882060753 seconds=0.0169
round=18 log2_max=-55.702495648993 seconds=0.0171
round=19 log2_max=-59.891977376032 seconds=0.0122
round=20 log2_max=-64.906833871103 seconds=0.0170
round=21 log2_max=-66.181889088034 seconds=0.0170
round=22 log2_max=-69.058439671092 seconds=0.0112
round=23 log2_max=-70.584295667698 seconds=0.0167
round=24 log2_max=-71.839540213950 seconds=0.0127
round=25 log2_max=-71.839540213950 seconds=0.0170
round=26 log2_max=-73.839107306722 seconds=0.0169
round=27 log2_max=-75.839072996656 seconds=0.0170
round=28 log2_max=-79.138624081905 seconds=0.0136
round=29 log2_max=-81.138623358348 seconds=0.0143
round=30 log2_max=-86.213708497561 seconds=0.0170
round=31 log2_max=-89.813682543191 seconds=0.0148
round=32 log2_max=-94.003508655398 seconds=0.0156
round=33 log2_max=-96.003508655398 seconds=0.0130
