round=1 log2_max=-2.000000000000 seconds=0.0674
round=2 log2_max=-6.000000000000 seconds=0.1095
round=3 log2_max=-8.000000000000 seconds=0.1263
round=4 log2_max=-9.299560281859 seconds=0.1787
round=5 log2_max=-9.299560281859 seconds=0.0664
round=6 log2_max=-11.299560281859 seconds=0.0130
round=7 log2_max=-13.299560281859 seconds=0.0537
round=8 log2_max=-16.599119816577 seconds=0.0167
round=9 log2_max=-18.599119816577 seconds=0.0161
round=10 log2_max=-23.674746143788 seconds=0.0170
round=11 log2_max=-27.274776409503 seconds=0.0142
round=12 log2_max=-31.464739703152 seconds=0.0146
round=13 log2_max=-33.464739703152 seconds=0.0169
round=14 log2_max=-40.318355626053 seconds=0.0120
round=15 log2_max=-44.953114277660 seconds=0.0171
round=16 log2_max=-49.400073035518 seconds=0.0169
round=17 log2_max=-50.687859477618 seconds=0.0121
round=18 log2_max=-53.624886135731 seconds=0.0170
round=19 log2_max=-55.175345524828 seconds=0.0168
round=20 log2_max=-56.433743011881 seconds=0.0169
round=21 log2_max=-56.433743011881 seconds=0.0170
round=22 log2_max=-58.433410148257 seconds=0.0136
round=23 log2_max=-60.433388069238 seconds=0.0122
round=24 log2_max=-63.732941864009 seconds=0.0167
round=25 log2_max=-65.732941438168 seconds=0.0146
