block round=12 first=1/16 evaluated=16 target=-71.880755216277 novel=-71.880755216277
block round=12 first=2/16 evaluated=32 target=-71.880755216277 novel=-71.880755216277
block round=12 first=3/16 evaluated=48 target=-71.880755216277 novel=-71.880755216277
block round=12 first=4/16 evaluated=64 target=-65.354676677164 novel=-71.080038225413
block round=12 first=5/16 evaluated=80 target=-65.354676677164 novel=-71.080038225413
block round=12 first=6/16 evaluated=96 target=-65.354676677164 novel=-71.080038225413
block round=12 first=7/16 evaluated=112 target=-65.354676677164 novel=-71.080038225413
block round=12 first=8/16 evaluated=128 target=-65.354676677164 novel=-71.080038225413
block round=12 first=9/16 evaluated=144 target=-65.354676677164 novel=-71.080038225413
block round=12 first=10/16 evaluated=160 target=-65.354676677164 novel=-71.080038225413
block round=12 first=11/16 evaluated=176 target=-65.354676677164 novel=-71.080038225413
block round=12 first=12/16 evaluated=192 target=-65.354676677164 novel=-71.080038225413
block round=12 first=13/16 evaluated=208 target=-65.354676677164 novel=-71.080038225413
block round=12 first=14/16 evaluated=224 target=-65.354676677164 novel=-71.080038225413
block round=12 first=15/16 evaluated=240 target=-65.354676677164 novel=-71.080038225413
block round=12 first=16/16 evaluated=256 target=-65.354676677164 novel=-71.080038225413
round=1 log2_max=-2.000000000000 seconds=0.0686
round=2 log2_max=-4.000000000000 seconds=0.0362
round=3 log2_max=-4.000000000000 seconds=0.0471
round=4 log2_max=-6.000000000000 seconds=0.0789
round=5 log2_max=-8.000000000000 seconds=0.0328
round=6 log2_max=-11.299560281859 seconds=0.0203
round=7 log2_max=-13.299560281859 seconds=0.0266
round=8 log2_max=-18.375211682254 seconds=0.0162
round=9 log2_max=-21.975246891869 seconds=0.0402
round=10 log2_max=-26.165041544598 seconds=0.0169
round=11 log2_max=-28.165041544598 seconds=0.0974
round=12 log2_max=-35.018443079047 seconds=0.0174
round=13 log2_max=-39.648860396245 seconds=0.0139
round=14 log2_max=-44.013578859130 seconds=0.0165
round=15 log2_max=-45.290732790488 seconds=0.0170
round=16 log2_max=-48.198822555728 seconds=0.0171
round=17 log2_max=-49.723369397306 seconds=0.0168
round=18 log2_max=-50.980231451014 seconds=0.0168
round=19 log2_max=-50.980231451014 seconds=0.0174
round=20 log2_max=-52.980078616006 seconds=0.0139
round=21 log2_max=-54.980065484810 seconds=0.0137
round=22 log2_max=-58.279618685179 seconds=0.0144
round=23 log2_max=-60.279618275336 seconds=0.0170
round=24 log2_max=-65.354676677164 seconds=0.0163
