round=1 log2_max=-2.000000000000 seconds=0.0698
round=2 log2_max=-4.000000000000 seconds=0.2160
round=3 log2_max=-4.000000000000 seconds=0.3674
round=4 log2_max=-6.000000000000 seconds=0.2145
round=5 log2_max=-8.000000000000 seconds=0.0978
round=6 log2_max=-11.192645077942 seconds=0.0167
round=7 log2_max=-13.192645077942 seconds=0.0322
round=8 log2_max=-18.101209691619 seconds=0.0169
round=9 log2_max=-21.585866508243 seconds=0.0175
round=10 log2_max=-25.645547700211 seconds=0.0130
round=11 log2_max=-27.645547700211 seconds=0.0285
round=12 log2_max=-34.447058253533 seconds=0.0173
round=13 log2_max=-38.942925568303 seconds=0.0173
round=14 log2_max=-43.719037752677 seconds=0.0173
round=15 log2_max=-44.702035348387 seconds=0.0175
round=16 log2_max=-47.477753683249 seconds=0.0136
round=17 log2_max=-48.915296346604 seconds=0.0151
round=18 log2_max=-50.059948885627 seconds=0.0170
round=19 log2_max=-50.059948885627 seconds=0.0183
round=20 log2_max=-52.059411553725 seconds=0.0159
round=21 log2_max=-54.059368447342 seconds=0.0141
round=22 log2_max=-57.251998605605 seconds=0.0176
round=23 log2_max=-59.251997868367 seconds=0.0170
round=24 log2_max=-64.160278516387 seconds=0.0155
round=25 log2_max=-67.644867867890 seconds=0.0127
round=26 log2_max=-71.704549467827 seconds=0.0173
round=27 log2_max=-73.704549467827 seconds=0.0178
round=28 log2_max=-80.506045445472 seconds=0.0171
round=29 log2_max=-85.001545228873 seconds=0.0176
round=30 log2_max=-89.777867390681 seconds=0.0171
round=31 log2_max=-90.760857248520 seconds=0.0174
round=32 log2_max=-93.536477592348 seconds=0.0124
round=33 log2_max=-94.973968527442 seconds=0.0173
round=34 log2_max=-96.118615921443 seconds=0.0179
round=35 log2_max=-96.118615921443 seconds=0.0179
round=36 log2_max=-98.118078446488 seconds=0.0119
round=37 log2_max=-100.118035324635 seconds=0.0165
round=38 log2_max=-103.310665478822 seconds=0.0146
round=39 log2_max=-105.310664741424 seconds=0.0143
round=40 log2_max=-110.218945224304 seconds=0.0168
round=41 log2_max=-113.703534541461 seconds=0.0178
round=42 log2_max=-117.763216142104 seconds=0.0167
round=43 log2_max=-119.763216142104 seconds=0.0179
round=44 log2_max=-126.564712111710 seconds=0.0170
round=45 log2_max=-131.060211717869 seconds=0.0180
