block round=17 first=1/16 evaluated=16 target=-106.916886165110 novel=-106.916886165110
block round=17 first=2/16 evaluated=32 target=-106.334440184645 novel=-106.334440184645
block round=17 first=3/16 evaluated=48 target=-100.016109277529 novel=-105.601363831572
block round=17 first=4/16 evaluated=64 target=-100.016109277529 novel=-105.601363831572
block round=17 first=5/16 evaluated=80 target=-100.016109277529 novel=-105.601363831572
block round=17 first=6/16 evaluated=96 target=-100.016109277529 novel=-105.601363831572
block round=17 first=7/16 evaluated=112 target=-100.016109277529 novel=-105.601363831572
block round=17 first=8/16 evaluated=128 target=-100.016109277529 novel=-105.601363831572
block round=17 first=9/16 evaluated=144 target=-100.016109277529 novel=-105.601363831572
block round=17 first=10/16 evaluated=160 target=-100.016109277529 novel=-105.601363831572
block round=17 first=11/16 evaluated=176 target=-100.016109277529 novel=-105.601363831572
block round=17 first=12/16 evaluated=192 target=-100.016109277529 novel=-105.601363831572
block round=17 first=13/16 evaluated=208 target=-100.016109277529 novel=-105.601363831572
block round=17 first=14/16 evaluated=224 target=-100.016109277529 novel=-105.601363831572
block round=17 first=15/16 evaluated=240 target=-100.016109277529 novel=-105.601363831572
block round=17 first=16/16 evaluated=256 target=-100.016109277529 novel=-105.601363831572
round=1 log2_max=-2.000000000000 seconds=0.0133
round=2 log2_max=-8.000000000000 seconds=0.0233
round=3 log2_max=-12.000000000000 seconds=0.0270
round=4 log2_max=-16.045803689613 seconds=0.0413
round=5 log2_max=-18.045803689613 seconds=0.0160
round=6 log2_max=-20.983496367587 seconds=0.0171
round=7 log2_max=-22.503700131635 seconds=0.0177
round=8 log2_max=-23.659779513376 seconds=0.0173
round=9 log2_max=-23.659779513376 seconds=0.0144
round=10 log2_max=-25.659770564318 seconds=0.0180
round=11 log2_max=-27.659768789042 seconds=0.0172
round=12 log2_max=-30.852409927510 seconds=0.0170
round=13 log2_max=-32.852409905532 seconds=0.0171
round=14 log2_max=-37.760963917922 seconds=0.0166
round=15 log2_max=-41.245616863433 seconds=0.0175
round=16 log2_max=-45.305295243155 seconds=0.0169
round=17 log2_max=-47.305295243155 seconds=0.0177
round=18 log2_max=-54.106549403112 seconds=0.0101
round=19 log2_max=-58.599257639599 seconds=0.0169
round=20 log2_max=-63.283432324747 seconds=0.0167
round=21 log2_max=-64.260529623204 seconds=0.0169
round=22 log2_max=-67.016440678723 seconds=0.0128
round=23 log2_max=-68.436423630470 seconds=0.0170
round=24 log2_max=-69.580951750954 seconds=0.0173
round=25 log2_max=-69.580951750954 seconds=0.0176
round=26 log2_max=-71.580701791881 seconds=0.0165
round=27 log2_max=-73.580676792789 seconds=0.0126
round=28 log2_max=-76.773294438286 seconds=0.0172
round=29 log2_max=-78.773293979399 seconds=0.0167
round=30 log2_max=-83.681511694166 seconds=0.0167
round=31 log2_max=-87.166087145963 seconds=0.0172
round=32 log2_max=-91.225765480031 seconds=0.0166
round=33 log2_max=-93.225765480031 seconds=0.0177
round=34 log2_max=-100.016109277529 seconds=0.0168
