round=1 log2_max=-2.000000000000 seconds=0.1395
round=2 log2_max=-6.000000000000 seconds=0.1192
round=3 log2_max=-8.000000000000 seconds=0.0529
round=4 log2_max=-9.192645077942 seconds=0.0365
round=5 log2_max=-9.192645077942 seconds=0.0196
round=6 log2_max=-11.192645077942 seconds=0.0169
round=7 log2_max=-13.192645077942 seconds=0.0170
round=8 log2_max=-16.385289882775 seconds=0.0100
round=9 log2_max=-18.385289882775 seconds=0.0169
round=10 log2_max=-23.293848965691 seconds=0.0163
round=11 log2_max=-26.778504228308 seconds=0.0175
round=12 log2_max=-30.838183656608 seconds=0.0165
round=13 log2_max=-32.838183656608 seconds=0.0176
round=14 log2_max=-39.639701137499 seconds=0.0167
round=15 log2_max=-44.135658782781 seconds=0.0169
round=16 log2_max=-48.904380172331 seconds=0.0163
round=17 log2_max=-49.888305190125 seconds=0.0175
round=18 log2_max=-52.625799219404 seconds=0.0108
round=19 log2_max=-54.063133333984 seconds=0.0170
round=20 log2_max=-55.206085077372 seconds=0.0166
round=21 log2_max=-55.206085077372 seconds=0.0174
round=22 log2_max=-57.205538393075 seconds=0.0172
round=23 log2_max=-59.205486023670 seconds=0.0174
round=24 log2_max=-62.398113581598 seconds=0.0116
round=25 log2_max=-64.398113054443 seconds=0.0166
