block round=12 first=1/16 evaluated=16 target=-66.648157913883 novel=-70.824665724945
block round=12 first=2/16 evaluated=32 target=-64.349310907046 novel=-70.325829538237
block round=12 first=3/16 evaluated=48 target=-64.349310907046 novel=-70.325829538237
block round=12 first=4/16 evaluated=64 target=-64.349310907046 novel=-70.325829538237
block round=12 first=5/16 evaluated=80 target=-64.349310907046 novel=-70.325829538237
block round=12 first=6/16 evaluated=96 target=-64.349310907046 novel=-70.325829538237
block round=12 first=7/16 evaluated=112 target=-64.349310907046 novel=-70.325829538237
block round=12 first=8/16 evaluated=128 target=-64.349310907046 novel=-70.325829538237
block round=12 first=9/16 evaluated=144 target=-64.349310907046 novel=-70.325829538237
block round=12 first=10/16 evaluated=160 target=-64.349310907046 novel=-70.325829538237
block round=12 first=11/16 evaluated=176 target=-64.349310907046 novel=-70.325829538237
block round=12 first=12/16 evaluated=192 target=-64.349310907046 novel=-70.325829538237
block round=12 first=13/16 evaluated=208 target=-64.349310907046 novel=-70.325829538237
block round=12 first=14/16 evaluated=224 target=-64.349310907046 novel=-70.325829538237
block round=12 first=15/16 evaluated=240 target=-64.349310907046 novel=-70.325829538237
block round=12 first=16/16 evaluated=256 target=-64.349310907046 novel=-70.325829538237
round=1 log2_max=-2.000000000000 seconds=0.0224
round=2 log2_max=-6.000000000000 seconds=0.0440
round=3 log2_max=-8.000000000000 seconds=0.0503
round=4 log2_max=-9.192645077942 seconds=0.0988
round=5 log2_max=-9.192645077942 seconds=0.0189
round=6 log2_max=-11.192645077942 seconds=0.0152
round=7 log2_max=-13.192645077942 seconds=0.0168
round=8 log2_max=-16.385288960152 seconds=0.0170
round=9 log2_max=-18.385288960152 seconds=0.0172
round=10 log2_max=-23.293844734580 seconds=0.0164
round=11 log2_max=-26.778498557609 seconds=0.0172
round=12 log2_max=-30.838140976015 seconds=0.0169
round=13 log2_max=-32.838140976015 seconds=0.0177
round=14 log2_max=-39.639387849198 seconds=0.0165
round=15 log2_max=-44.135600057511 seconds=0.0148
round=16 log2_max=-48.839234136234 seconds=0.0145
round=17 log2_max=-49.821716143388 seconds=0.0175
round=18 log2_max=-52.576899673768 seconds=0.0164
round=19 log2_max=-54.019190697742 seconds=0.0170
round=20 log2_max=-55.157082318710 seconds=0.0145
round=21 log2_max=-55.157082318710 seconds=0.0150
round=22 log2_max=-57.156727865447 seconds=0.0174
round=23 log2_max=-59.156702967419 seconds=0.0171
round=24 log2_max=-62.349311407915 seconds=0.0170
round=25 log2_max=-64.349310907046 seconds=0.0121
