round=1 log2_max=-2.000000000000 seconds=0.2078
round=2 log2_max=-6.000000000000 seconds=0.0954
round=3 log2_max=-8.000000000000 seconds=0.0838
round=4 log2_max=-9.192645077942 seconds=0.1866
round=5 log2_max=-9.192645077942 seconds=0.0389
round=6 log2_max=-11.192645077942 seconds=0.0148
round=7 log2_max=-13.192645077942 seconds=0.0167
round=8 log2_max=-16.385289882775 seconds=0.0172
round=9 log2_max=-18.385289882775 seconds=0.0175
round=10 log2_max=-23.293848965691 seconds=0.0124
round=11 log2_max=-26.778504228308 seconds=0.0176
round=12 log2_max=-30.838183656608 seconds=0.0168
round=13 log2_max=-32.838183656608 seconds=0.0180
round=14 log2_max=-39.639708302635 seconds=0.0115
round=15 log2_max=-44.135594906874 seconds=0.0173
round=16 log2_max=-48.911818586061 seconds=0.0173
round=17 log2_max=-49.894845481253 seconds=0.0171
round=18 log2_max=-52.660596020111 seconds=0.0167
round=19 log2_max=-54.104710588048 seconds=0.0172
round=20 log2_max=-55.248507278574 seconds=0.0172
round=21 log2_max=-55.248507278574 seconds=0.0177
round=22 log2_max=-57.248079635420 seconds=0.0118
round=23 log2_max=-59.248047656438 seconds=0.0169
round=24 log2_max=-62.440682028185 seconds=0.0168
round=25 log2_max=-64.440681017006 seconds=0.0174
round=26 log2_max=-69.348992131581 seconds=0.0124
round=27 log2_max=-72.833612975167 seconds=0.0150
round=28 log2_max=-76.893292816522 seconds=0.0163
round=29 log2_max=-78.893292816522 seconds=0.0179
round=30 log2_max=-85.694806647779 seconds=0.0127
round=31 log2_max=-90.190528211539 seconds=0.0154
round=32 log2_max=-94.966795722152 seconds=0.0170
round=33 log2_max=-95.949811055306 seconds=0.0173
round=34 log2_max=-98.715495665742 seconds=0.0170
