round=1 log2_max=-4.000000000000 seconds=0.0541
round=2 log2_max=-6.000000000000 seconds=0.1026
round=3 log2_max=-7.299560281859 seconds=0.2032
round=4 log2_max=-7.299560281859 seconds=0.1970
round=5 log2_max=-9.299560281859 seconds=0.0581
round=6 log2_max=-11.299560281859 seconds=0.0095
round=7 log2_max=-14.599119485005 seconds=0.0163
round=8 log2_max=-16.599119485005 seconds=0.0151
round=9 log2_max=-21.674745507023 seconds=0.0143
round=10 log2_max=-25.274775441940 seconds=0.0170
round=11 log2_max=-29.464738127758 seconds=0.0168
round=12 log2_max=-31.464738127758 seconds=0.0211
round=13 log2_max=-38.318354018082 seconds=0.0137
round=14 log2_max=-42.953056899143 seconds=0.0148
round=15 log2_max=-47.400070288720 seconds=0.0167
round=16 log2_max=-48.687856572234 seconds=0.0117
round=17 log2_max=-51.624881814362 seconds=0.0128
round=18 log2_max=-53.186121758652 seconds=0.0173
round=19 log2_max=-54.446483145524 seconds=0.0134
round=20 log2_max=-54.446483145524 seconds=0.0470
round=21 log2_max=-56.446163415350 seconds=0.0169
round=22 log2_max=-58.446137428081 seconds=0.0166
round=23 log2_max=-61.745691067901 seconds=0.0095
round=24 log2_max=-63.745690434643 seconds=0.0169
round=25 log2_max=-68.820821141286 seconds=0.0165
