round=1 log2_max=-2.000000000000 seconds=0.1006
round=2 log2_max=-4.000000000000 seconds=0.1663
round=3 log2_max=-4.000000000000 seconds=0.0652
round=4 log2_max=-6.000000000000 seconds=0.0387
round=5 log2_max=-8.000000000000 seconds=0.0244
round=6 log2_max=-11.192645077942 seconds=0.0164
round=7 log2_max=-13.192645077942 seconds=0.0156
round=8 log2_max=-18.101209691619 seconds=0.0167
round=9 log2_max=-21.585866508243 seconds=0.0449
round=10 log2_max=-25.645547700211 seconds=0.0162
round=11 log2_max=-27.645547700211 seconds=0.0172
round=12 log2_max=-34.447058253533 seconds=0.0168
round=13 log2_max=-38.942925568303 seconds=0.0172
round=14 log2_max=-43.719037752677 seconds=0.0172
round=15 log2_max=-44.702035348387 seconds=0.0159
round=16 log2_max=-47.477753683249 seconds=0.0142
round=17 log2_max=-48.915296346604 seconds=0.0168
round=18 log2_max=-50.059948885627 seconds=0.0175
round=19 log2_max=-50.059948885627 seconds=0.0171
round=20 log2_max=-52.059411553725 seconds=0.0170
round=21 log2_max=-54.059368447342 seconds=0.0147
round=22 log2_max=-57.251998605605 seconds=0.0122
round=23 log2_max=-59.251997868367 seconds=0.0170
round=24 log2_max=-64.160278516387 seconds=0.0167
