round=1 log2_max=-2.000000000000 seconds=0.0216
round=2 log2_max=-6.000000000000 seconds=0.0651
round=3 log2_max=-8.000000000000 seconds=0.0296
round=4 log2_max=-9.299560281859 seconds=0.0595
round=5 log2_max=-9.299560281859 seconds=0.0431
round=6 log2_max=-11.299560281859 seconds=0.0131
round=7 log2_max=-13.299560281859 seconds=0.0175
round=8 log2_max=-16.599120418671 seconds=0.0174
round=9 log2_max=-18.599120418671 seconds=0.0172
round=10 log2_max=-23.674752480368 seconds=0.0119
round=11 log2_max=-27.274785597776 seconds=0.0170
round=12 log2_max=-31.464621160884 seconds=0.0103
round=13 log2_max=-33.464621160884 seconds=0.0156
round=14 log2_max=-40.764234280278 seconds=0.0154
round=15 log2_max=-44.953589756103 seconds=0.0124
round=16 log2_max=-49.968565986264 seconds=0.0179
round=17 log2_max=-51.243619789795 seconds=0.0171
round=18 log2_max=-54.120164446753 seconds=0.0155
round=19 log2_max=-55.646018537341 seconds=0.0142
round=20 log2_max=-56.901262662558 seconds=0.0154
round=21 log2_max=-56.901262662558 seconds=0.0150
round=22 log2_max=-58.900829749241 seconds=0.0168
round=23 log2_max=-60.900795438599 seconds=0.0117
round=24 log2_max=-64.200346523667 seconds=0.0142
round=25 log2_max=-66.200345800102 seconds=0.0166
round=26 log2_max=-71.275430930044 seconds=0.0176
round=27 log2_max=-74.875404974674 seconds=0.0170
round=28 log2_max=-79.065231086723 seconds=0.0123
round=29 log2_max=-81.065231086723 seconds=0.0176
round=30 log2_max=-88.364832725076 seconds=0.0116
round=31 log2_max=-92.553011744399 seconds=0.0175
round=32 log2_max=-97.569011691709 seconds=0.0138
round=33 log2_max=-98.844032705215 seconds=0.0147
round=34 log2_max=-101.720457065506 seconds=0.0167
round=35 log2_max=-103.246279521197 seconds=0.0174
round=36 log2_max=-104.501518522388 seconds=0.0175
round=37 log2_max=-104.501518522388 seconds=0.0108
round=38 log2_max=-106.501085527632 seconds=0.0167
round=39 log2_max=-108.501051208772 seconds=0.0145
round=40 log2_max=-111.800602291492 seconds=0.0119
round=41 log2_max=-113.800601567812 seconds=0.0172
round=42 log2_max=-118.875686456200 seconds=0.0118
round=43 log2_max=-122.475660475078 seconds=0.0172
round=44 log2_max=-126.665486583123 seconds=0.0170
round=45 log2_max=-128.665486583123 seconds=0.0172
