block round=12 first=1/16 evaluated=16 target=-71.880492470059 novel=-71.880492470059
block round=12 first=2/16 evaluated=32 target=-71.880492470059 novel=-71.880492470059
block round=12 first=3/16 evaluated=48 target=-71.880492470059 novel=-71.880492470059
block round=12 first=4/16 evaluated=64 target=-65.354582558487 novel=-71.079877038646
block round=12 first=5/16 evaluated=80 target=-65.354582558487 novel=-71.079877038646
block round=12 first=6/16 evaluated=96 target=-65.354582558487 novel=-71.079877038646
block round=12 first=7/16 evaluated=112 target=-65.354582558487 novel=-71.079877038646
block round=12 first=8/16 evaluated=128 target=-65.354582558487 novel=-71.079877038646
block round=12 first=9/16 evaluated=144 target=-65.354582558487 novel=-71.079877038646
block round=12 first=10/16 evaluated=160 target=-65.354582558487 novel=-71.079877038646
block round=12 first=11/16 evaluated=176 target=-65.354582558487 novel=-71.079877038646
block round=12 first=12/16 evaluated=192 target=-65.354582558487 novel=-71.079877038646
block round=12 first=13/16 evaluated=208 target=-65.354582558487 novel=-71.079877038646
block round=12 first=14/16 evaluated=224 target=-65.354582558487 novel=-71.079877038646
block round=12 first=15/16 evaluated=240 target=-65.354582558487 novel=-71.079877038646
block round=12 first=16/16 evaluated=256 target=-65.354582558487 novel=-71.079877038646
round=1 log2_max=-2.000000000000 seconds=0.0377
round=2 log2_max=-4.000000000000 seconds=0.0423
round=3 log2_max=-4.000000000000 seconds=0.0296
round=4 log2_max=-6.000000000000 seconds=0.0716
round=5 log2_max=-8.000000000000 seconds=0.0204
round=6 log2_max=-11.299560281859 seconds=0.0182
round=7 log2_max=-13.299560281859 seconds=0.0163
round=8 log2_max=-18.375211682254 seconds=0.0172
round=9 log2_max=-21.975246891869 seconds=0.0211
round=10 log2_max=-26.165041544598 seconds=0.0170
round=11 log2_max=-28.165041544598 seconds=0.0319
round=12 log2_max=-35.018443079047 seconds=0.0108
round=13 log2_max=-39.648860396245 seconds=0.0167
round=14 log2_max=-44.013578859130 seconds=0.0174
round=15 log2_max=-45.290732790488 seconds=0.0163
round=16 log2_max=-48.198822555728 seconds=0.0170
round=17 log2_max=-49.723369397306 seconds=0.0169
round=18 log2_max=-50.980231451014 seconds=0.0214
round=19 log2_max=-50.980231451014 seconds=0.0115
round=20 log2_max=-52.980060977851 seconds=0.0168
round=21 log2_max=-54.980046951414 seconds=0.0165
round=22 log2_max=-58.279557692404 seconds=0.0171
round=23 log2_max=-60.279557649997 seconds=0.0168
round=24 log2_max=-65.354582558487 seconds=0.0155
